,A_Ala,A_Asc,A_Asp,A_Cr,A_GABA,A_Glc,A_Gln,A_Glu,A_Gly,A_GPC,A_GSH,A_Ins,A_Lac,A_MM,A_NAA,A_NAAG,A_PCho,A_PCr,A_PE,A_sIns,A_Tau,damping,freq_s,phase_s
MSE,0.0013050355661248965,0.0013697367804110937,0.0005029836958813479,0.010066246036369492,0.0005941225461686265,0.00057157065628294,0.0036767572362097906,0.018462425941677553,0.00025393238529984027,0.0009046639642003121,0.0013969228183769319,0.008266742359199516,0.0005015210649174343,0.0007177625766170981,0.011747191255081883,0.0016571819953856647,0.0003713663470710961,0.0026490574251980883,0.0005565953252763069,6.448663860101517e-05,0.003920558863684448,5.308719260894398,0.6042079457319344,0.043780265578621254
MAE,0.03132912392447906,0.03112397642689757,0.01884503391920589,0.08060722472146153,0.020427652692887932,0.019273865240393206,0.04979361849837005,0.10989656881429255,0.01312461492670991,0.02528574806638062,0.031093837635125965,0.0732612538849935,0.0183245755988537,0.008296738378703594,0.08318779640831053,0.03373712227039505,0.015273937243364344,0.04177325195632875,0.019165180652635172,0.005296671999985847,0.0516293456312269,1.7203668160364032,0.5919217513874173,0.17129184378427453
MAPE,112.962812953743,71.31557767253896,17.825712985994812,17.959632951673957,21.506453165103004,18.637233897612838,20.511849701162703,21.629696932179463,45.728160180141124,38.35961796007481,19.815687883179844,21.102946015591794,51.23985181794997,10.022675444539107,14.762401808627724,39.305400802013686,48.80334230709705,17.51474868270075,20.46442752465138,34.943335823291285,18.900192641993257,106.96402748234198,84.80963067009358,227.28104918977493
R2,-0.21111310641561087,-0.5736022068295663,-0.16428161260426166,-0.05888930749902932,-0.4904361738537577,-0.26932264042188847,-0.6529876669874182,-0.5660545529254741,-0.30919517354685877,-0.31162256116010245,-0.708856838740586,-0.025137204796206403,-1.08928828321806,-4.185397066814312,0.39230838221055153,-0.14408466343231785,-0.5559403002544245,-0.3580248064405631,-0.48999441266392174,-1.6617193887390846,-0.301998748883201,0.7001937134545456,0.8170326035936786,-0.34207994046249723
